# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   95       3.357581684957e-10       9.259273069624e-14      -2.610047449450e-12       3.849457689873e-16       1.234623943609e-11       1.705511871172e-12      -9.518034395644e-15 
   96       3.397005442077e-10       9.461545638936e-14      -2.696167483206e-12       3.931601943969e-16       1.201527094295e-11       1.667997693875e-12      -9.231234379360e-15 
   97       3.436724587392e-10       9.662795521368e-14      -2.782736077386e-12       4.014661269975e-16       1.169600217141e-11       1.631706363543e-12      -8.937849456701e-15 
   98       3.476735944088e-10       9.862816145827e-14      -2.869670907875e-12       4.098645006828e-16       1.138817060803e-11       1.596617434962e-12      -8.642405016920e-15 
   99       3.517034457159e-10       1.006139641330e-13      -2.956886678293e-12       4.183563103390e-16       1.109139609582e-11       1.562697855819e-12      -8.349777461408e-15 
  100       3.557613118504e-10       1.025832068958e-13      -3.044295090279e-12       4.269426133051e-16       1.080517679195e-11       1.529901523758e-12      -8.065202696994e-15 
  101       3.598462892032e-10       1.045336879803e-13      -3.131804813794e-12       4.356245308338e-16       1.052888512549e-11       1.498168843448e-12      -7.794284629245e-15 
  102       3.639572638764e-10       1.064631601231e-13      -3.219321457409e-12       4.444032495522e-16       1.026176375510e-11       1.467426283637e-12      -7.543003655773e-15 
  103       3.680929041936e-10       1.083693304910e-13      -3.306747538601e-12       4.532800229227e-16       1.000292152673e-11       1.437585934217e-12      -7.317725159526e-15 
  104       3.722519447938e-10       1.102499692297e-13      -3.393988974792e-12       4.622560411065e-16       9.751535500049e-12       1.408565523095e-12      -7.123732631039e-15 
  105       3.764340987511e-10       1.121032519651e-13      -3.480975619081e-12       4.713320173878e-16       9.507496815096e-12       1.380352500353e-12      -6.960583068375e-15 
  106       3.806392552797e-10       1.139274636487e-13      -3.567643456127e-12       4.805085483448e-16       9.270844942977e-12       1.352947825458e-12      -6.826137072546e-15 
  107       3.848671949191e-10       1.157208951760e-13      -3.653928370560e-12       4.897862404722e-16       9.041567651844e-12       1.326346065020e-12      -6.717970564599e-15 
  108       3.891175852491e-10       1.174818445071e-13      -3.739766188933e-12       4.991657101956e-16       8.819599229098e-12       1.300535174687e-12      -6.633367066055e-15 
  109       3.933899766038e-10       1.192086177881e-13      -3.825092721672e-12       5.086475838864e-16       8.604818703588e-12       1.275496281035e-12      -6.569309979340e-15 
  110       3.976837977864e-10       1.208995304717e-13      -3.909843805028e-12       5.182324978762e-16       8.397048067808e-12       1.251203463470e-12      -6.522474868214e-15 
  111       4.019983517836e-10       1.225529084387e-13      -3.993955343021e-12       5.279210984714e-16       8.196050500103e-12       1.227623536112e-12      -6.489221738207e-15 
  112       4.063328114802e-10       1.241670891187e-13      -4.077363349396e-12       5.377140419680e-16       8.001528586858e-12       1.204715829697e-12      -6.465587317051e-15 
  113       4.106862153732e-10       1.257404226112e-13      -4.160003989569e-12       5.476119946659e-16       7.813122544709e-12       1.182431973468e-12      -6.447277335110e-15 
  114       4.150574632869e-10       1.272712728069e-13      -4.241813622580e-12       5.576156328840e-16       7.630408442732e-12       1.160715677067e-12      -6.429658805814e-15 
  115       4.194453120867e-10       1.287580185080e-13      -4.322728843039e-12       5.677256429741e-16       7.452896424649e-12       1.139502512435e-12      -6.407752306091e-15 
  116       4.238485457955e-10       1.301990825783e-13      -4.402684974593e-12       5.779427224679e-16       7.280138111486e-12       1.118734674428e-12      -6.377248993795e-15 
  117       4.282665185657e-10       1.315930210136e-13      -4.481611252837e-12       5.882675836429e-16       7.112067424529e-12       1.098407764941e-12      -6.337718442172e-15 
  118       4.326986699821e-10       1.329384468558e-13      -4.559435132784e-12       5.987009504193e-16       6.948698054451e-12       1.078529313761e-12      -6.289778136804e-15 
  119       4.371443538536e-10       1.342340044879e-13      -4.636083812898e-12       6.092435572912e-16       6.790017184970e-12       1.059104224054e-12      -6.234104962237e-15 
  120       4.416028354697e-10       1.354783710024e-13      -4.711484263354e-12       6.198961493515e-16       6.635984680393e-12       1.040134686697e-12      -6.171436542859e-15 
  121       4.460732888571e-10       1.366702575701e-13      -4.785563254293e-12       6.306594823164e-16       6.486532273158e-12       1.021620094612e-12      -6.102572583784e-15 
  122       4.505547940364e-10       1.378084108097e-13      -4.858247384084e-12       6.415343225500e-16       6.341562751384e-12       1.003556957096e-12      -6.028376211739e-15 
  123       4.550463342782e-10       1.388916141557e-13      -4.929463107583e-12       6.525214470888e-16       6.200949146406e-12       9.859388141521e-13      -5.949775315942e-15 
  124       4.595467933598e-10       1.399186892278e-13      -4.999136764387e-12       6.636216436666e-16       6.064533920326e-12       9.687561508254e-13      -5.867763888989e-15 
  125       4.640549528217e-10       1.408884971997e-13      -5.067194607096e-12       6.748357107389e-16       5.932128153553e-12       9.519963115307e-13      -5.783403367735e-15 
  126       4.685694892243e-10       1.417999401677e-13      -5.133562829573e-12       6.861644575076e-16       5.803510732349e-12       9.356434143867e-13      -5.697823974177e-15 
  127       4.730889714040e-10       1.426519625199e-13      -5.198167595199e-12       6.976087039454e-16       5.678427536370e-12       9.196782655472e-13      -5.612226056341e-15 
  128       4.776118577297e-10       1.434435523045e-13      -5.260935065134e-12       7.091692808208e-16       5.556590626212e-12       9.040782735336e-13      -5.527881429159e-15 
